Dimension,Segment,Orders,Delayed_Orders,Delay_Rate_Pct,Share_of_All_Delays_Pct
Shipping_Mode,Standard Class,37632,14995,39.846407312925166,41.59731469152241
Shipping_Mode,Second Class,12256,9803,79.9853133159269,27.194296493564135
Shipping_Mode,First Class,9602,9602,100.0,26.63670661340435
Shipping_Mode,Same Day,3407,1648,48.371000880540066,4.571682201509099
Market,Europe,17763,10199,57.417102966841185,28.29283177984909
Market,Pacific Asia,16853,9720,57.67519136058862,26.964047936085215
Market,LATAM,16414,9339,56.896551724137936,25.907123834886818
Market,USCA,8178,4704,57.52017608217168,13.049267643142477
Market,Africa,3689,2086,56.54648956356736,5.786728806036396
Order_Region,Western Europe,9563,5585,58.4021750496706,15.493231247225921
Order_Region,Central America,9001,5156,57.28252416398178,14.303151353750554
Order_Region,South America,4738,2696,56.90164626424652,7.478916999556147
Order_Region,Southeast Asia,4173,2421,58.01581595974119,6.7160452729693745
Order_Region,Oceania,4175,2382,57.05389221556886,6.60785619174434
Order_Region,Northern Europe,3564,1996,56.00448933782267,5.537061695517089
Order_Region,Southern Europe,3390,1895,55.899705014749266,5.25687971593431
Order_Region,South Asia,3219,1865,57.93724759242001,5.173657345761208
Order_Region,Eastern Asia,3171,1818,57.33207190160833,5.043275632490013
Order_Region,Caribbean,2675,1487,55.58878504672897,4.125055481580115
Order_Region,West of USA ,2536,1451,57.216088328075706,4.025188637372392
Order_Region,East of USA,2219,1276,57.503379900856245,3.5397248113626274
Order_Region,West Asia,1935,1132,58.50129198966408,3.1402574345317356
Order_Region,US Center ,1852,1071,57.829373650107996,2.9710386151797605
Order_Region,South of  USA ,1280,753,58.828125,2.0888814913448734
Order_Region,Eastern Europe,1246,723,58.02568218298555,2.005659121171771
Order_Region,West Africa,1174,626,53.32197614991482,1.7365734576120728
Order_Region,North Africa,1013,578,57.058242843040475,1.6034176653351087
Order_Region,East Africa,589,348,59.08319185059423,0.9653794940079893
Order_Region,Central Africa,533,320,60.0375234521576,0.887705281846427
Order_Region,Southern Africa,380,214,56.315789473684205,0.593652907234798
Order_Region,Canada,291,153,52.57731958762887,0.4244340878828229
Order_Region,Central Asia,180,102,56.666666666666664,0.2829560585885486
Order_Year,2017,20910,11925,57.03012912482066,33.080892143808256
Order_Year,2016,19955,11497,57.61463292407918,31.893586329338657
Order_Year,2015,19995,11431,57.16929232308077,31.710497114957835
Order_Year,2018,2037,1195,58.66470299459991,3.315024411895251
Order_Month,01,7138,4096,57.383020453908664,11.362627607634264
Order_Month,12,5452,3150,57.776962582538516,8.738348868175766
Order_Month,10,5418,3086,56.95828719084533,8.56080781180648
Order_Month,11,5253,3008,57.262516657148296,8.344429649356414
Order_Month,03,5112,2949,57.68779342723005,8.18075898801598
Order_Month,08,5071,2930,57.779530664563204,8.128051486906347
Order_Month,05,5031,2905,57.74199960246472,8.058699511762095
Order_Month,07,5059,2851,56.35501087171377,7.908899245450511
Order_Month,09,4938,2841,57.53341433778858,7.88115845539281
Order_Month,06,4873,2820,57.869895341678635,7.822902796271637
Order_Month,04,4935,2769,56.109422492401215,7.681424766977364
Order_Month,02,4617,2643,57.24496426250813,7.331890812250333
